1754391341823799100,5C19,5C19,5C19
1754391350228058200,DC0F,DC0F,DC0F
1754391360379320900,96BB,96BB,96BB
1754391370352680400,5C19,5C19,5C19
1754391376823941300,96BB,96BB,96BB
1754391383559117500,5C19,96BB,5C19
1754391391794406800,96BB,DC0F,96BB
1754391403071126000,5C19,5C19,DC0F
1754391410074714900,96BB,96BB,DC0F
1754391417339534500,96BB,96BB,5C19
1754391423378853600,96BB,96BB,5C19
1754391429254452700,5C19,5C19,5C19
1754391439042356800,5C19,5C19,5C19
1754391445336536400,DC0F,DC0F,DC0F
1754391451646142900,96BB,96BB,96BB
1754391462140553300,96BB,96BB,96BB
1754391470197454200,DC0F,DC0F,DC0F
1754391476514670400,96BB,96BB,5C19
1754391488130442300,96BB,96BB,DC0F
1754391494949010600,5C19,5C19,5C19
