1754396502230019100,96BB,96BB,96BB
1754396510462419200,DC0F,DC0F,DC0F
1754396516403853100,5C19,5C19,5C19
1754396523931823300,96BB,96BB,5C19
1754396531466340000,DC0F,DC0F,DC0F
1754396537753039100,96BB,96BB,96BB
1754396544142319000,DC0F,DC0F,DC0F
1754396551493559700,96BB,96BB,96BB
1754396557447641300,DC0F,DC0F,DC0F
1754396564803522900,5C19,96BB,5C19
1754396569952429000,5C19,5C19,5C19
1754396575206744600,96BB,96BB,5C19
1754396583545186800,96BB,96BB,5C19
1754396590260267400,DC0F,DC0F,DC0F
1754396596730217900,5C19,5C19,5C19
1754396604878414700,5C19,5C19,5C19
1754396610992388300,DC0F,DC0F,DC0F
1754396618346343700,5C19,5C19,5C19
1754396626129653600,DC0F,DC0F,96BB
1754396631741260400,5C19,5C19,DC0F
