1754391638960922300,5C19,96BB,5C19
1754391645699087300,DC0F,DC0F,DC0F
1754391652086744600,96BB,96BB,96BB
1754391661978291200,5C19,96BB,5C19
1754391668705653700,DC0F,DC0F,DC0F
1754391677106635000,96BB,96BB,96BB
1754391684805473000,DC0F,DC0F,DC0F
1754391691106690900,5C19,5C19,5C19
1754391698105279300,DC0F,DC0F,96BB
1754391706243526000,5C19,5C19,5C19
1754391713778083000,5C19,96BB,5C19
1754391721206794200,5C19,5C19,5C19
1754391731190367400,5C19,5C19,5C19
1754391737919031700,DC0F,DC0F,96BB
1754391744831357000,5C19,96BB,5C19
1754391753845635900,96BB,96BB,5C19
1754391760673073500,DC0F,DC0F,96BB
1754391768813693000,5C19,96BB,5C19
1754391779493640700,DC0F,DC0F,96BB
1754391785432408900,DC0F,5C19,DC0F
