timestamp,selection,distance_change,bearing
1754394614163331900,5C19,5C19,5C19
1754394620644203400,DC0F,DC0F,DC0F
1754394629041422900,96BB,96BB,96BB
1754394640411391600,5C19,5C19,5C19
1754394646274098600,DC0F,DC0F,DC0F
1754394653362790800,96BB,96BB,96BB
1754394659574906400,DC0F,DC0F,DC0F
1754394668065939400,5C19,5C19,5C19
1754394675278726200,DC0F,DC0F,DC0F
1754394686000916200,5C19,5C19,5C19
1754394693700173200,96BB,96BB,96BB
1754394700475407600,5C19,5C19,5C19
1754394711475081400,5C19,5C19,5C19
1754394720566022000,DC0F,DC0F,DC0F
1754394729485272600,96BB,96BB,96BB
1754394738412063900,96BB,96BB,5C19
1754394744450498600,DC0F,DC0F,DC0F
1754394750580416900,96BB,96BB,5C19
1754394760378595400,DC0F,DC0F,DC0F
1754394768523129300,5C19,5C19,5C19
