timestamp,selection,distance_change,bearing
1754389770346369600,5C19,5C19,5C19
1754389776815280300,DC0F,DC0F,DC0F
1754389784434186800,96BB,96BB,96BB
1754389794758354200,5C19,5C19,5C19
1754389801674600400,DC0F,DC0F,DC0F
1754389809281957900,96BB,96BB,96BB
1754389816024195400,DC0F,DC0F,DC0F
1754389822849041500,5C19,5C19,5C19
1754389830681267900,DC0F,DC0F,DC0F
1754389839466325600,5C19,5C19,5C19
1754389846827856700,96BB,96BB,96BB
1754389856449591900,5C19,5C19,5C19
1754389868034748500,5C19,5C19,5C19
1754389874654943500,DC0F,DC0F,DC0F
1754389882171227300,96BB,96BB,96BB
1754389893724672100,96BB,96BB,96BB
1754389900196129000,DC0F,DC0F,DC0F
1754389906861467800,96BB,96BB,96BB
1754389914806676000,DC0F,DC0F,DC0F
1754389921805518500,5C19,5C19,5C19
