timestamp,selection,distance_change,bearing
1754392150981905700,5C19,5C19,5C19
1754392159740077100,DC0F,DC0F,DC0F
1754392167959392100,96BB,96BB,96BB
1754392182039571800,5C19,5C19,5C19
1754392188788832300,DC0F,DC0F,DC0F
1754392199985813700,96BB,96BB,96BB
1754392207498794200,DC0F,DC0F,DC0F
1754392215039347800,5C19,5C19,5C19
1754392222555054500,DC0F,DC0F,DC0F
1754392231212378200,5C19,5C19,5C19
1754392243028795000,96BB,96BB,96BB
1754392250462594000,5C19,5C19,5C19
1754392259563258300,5C19,5C19,5C19
1754392265693521300,DC0F,DC0F,DC0F
1754392271996524400,96BB,96BB,96BB
1754392286510995400,96BB,96BB,96BB
1754392293687134300,DC0F,DC0F,DC0F
1754392302005984200,96BB,96BB,96BB
1754392310148246400,DC0F,DC0F,DC0F
1754392316536743400,5C19,5C19,5C19
